accession,GO
Q6PFX9,GO:0000781; GO:0005737; GO:0005829; GO:0005794; GO:0000139; GO:0005815; GO:0097431; GO:0016604; GO:0031965; GO:0005643; GO:0005654; GO:0005634; GO:0042393; GO:0003950; GO:1990404; GO:0008270; GO:0051301; GO:0031670; GO:0051028; GO:1904908; GO:1904357; GO:1904743; GO:0018105; GO:0018107; GO:0090263; GO:0051973; GO:1904355; GO:0032212; GO:0045944; GO:0006471; GO:0070213; GO:0070198; GO:0070212; GO:0000209; GO:0015031; GO:0051225; GO:0016055
Q9H2K2,GO:0000781; GO:0005737; GO:0005829; GO:0000139; GO:0005635; GO:0005634; GO:0000242; GO:0048471; GO:0019899; GO:0046872; GO:0003950; GO:1990404; GO:0047485; GO:0035264; GO:1904357; GO:0090263; GO:1904355; GO:0032212; GO:0006471; GO:0070213; GO:0070198; GO:0070212; GO:0000209; GO:0040014; GO:0016055
Q3UES3,GO:0000781; GO:0005737; GO:0000139; GO:0005635; GO:0005634; GO:0000242; GO:0048471; GO:0019899; GO:0046872; GO:0003950; GO:1990404; GO:0047485; GO:0035264; GO:1904357; GO:0090263; GO:1904355; GO:0006471; GO:0070213; GO:0070198; GO:0070212; GO:0000209; GO:0040014; GO:0000723; GO:0016055
P19123,GO:1990584; GO:0043292; GO:0005861; GO:0051015; GO:0005509; GO:0048306; GO:0042803; GO:0031013; GO:0031014; GO:0060048; GO:0002086; GO:0043462; GO:0006937; GO:0032972; GO:0010038; GO:0003009; GO:0014883; GO:0055010
P02591,GO:1990584; GO:0051015; GO:0005509; GO:0048306; GO:0042803; GO:0031013; GO:0031014; GO:0060048; GO:0043462; GO:0032972; GO:0014883; GO:0055010
P20801,GO:0005861; GO:0003779; GO:0051015; GO:0005509; GO:0048306; GO:0006937; GO:0003009
P02586,GO:0005509; GO:0031014
P19237,GO:0005829; GO:0005861; GO:0003779; GO:0046872; GO:0060048; GO:0006936; GO:0006942; GO:0003009; GO:0014883; GO:0055010
P68247,GO:0005861; GO:0003779; GO:0046872
Q7TNB2,GO:0005861; GO:0005523; GO:0031014; GO:0006936; GO:0045932; GO:0006937; GO:0045214; GO:0003009; GO:0031444; GO:0014883
P02642,GO:0005861; GO:0005523; GO:0030172; GO:0031013; GO:0060048; GO:0006936; GO:0006937; GO:0045214
P50752,GO:0097512; GO:1990584; GO:0030016; GO:0030017; GO:0016528; GO:0005865; GO:0005861; GO:0003779; GO:0042802; GO:0000146; GO:0044877; GO:0030674; GO:0005200; GO:0005523; GO:0030172; GO:0031013; GO:0051764; GO:0055009; GO:0060048; GO:0007507; GO:0006936; GO:0030049; GO:0032780; GO:0032781; GO:0008016; GO:0006937; GO:0032972; GO:0009617; GO:0051592; GO:0045214; GO:0055010
P12620,GO:0005861; GO:0005523; GO:0030172; GO:0031013; GO:0006936; GO:0006942; GO:0045214; GO:0003009
P06398,GO:0005861; GO:0006942
P09739,GO:0005861; GO:0048306; GO:0005523; GO:0030172; GO:0031013; GO:0031014; GO:0006936; GO:1903612; GO:0043462; GO:0006937; GO:0006942; GO:0045214; GO:0003009
Q3SYU7,GO:0005737; GO:0005634; GO:0061608; GO:0008139; GO:0031267; GO:0006606
Q92973,GO:0005929; GO:0005737; GO:0005829; GO:0070062; GO:0005634; GO:0061608; GO:0008139; GO:0003723; GO:0031267; GO:0006606
Q8BFY9,GO:0005737; GO:0005634; GO:0061608; GO:0008139; GO:0031267; GO:0006606
Q99LG2,GO:0005737; GO:0005634; GO:0061608; GO:0008139; GO:0031267; GO:0051148; GO:0006606
Q9Y5L0,GO:0005642; GO:0005737; GO:0043231; GO:0005635; GO:0042802; GO:0061608; GO:0031267; GO:0006606
Q9UPQ9,GO:0005829; GO:0005654; GO:0000932; GO:0003723; GO:0031047; GO:0035195; GO:0035278; GO:1900153; GO:0060213
Q8BKI2,GO:0005654; GO:0000932; GO:0003723; GO:0031047; GO:0035195; GO:0035278; GO:1900153; GO:0060213
Q9HCJ0,GO:0005829; GO:0005654; GO:0000932; GO:0003723; GO:0035195; GO:0035278; GO:1900153; GO:0060213
P50616,GO:0030014; GO:0005737; GO:0005634; GO:0030971; GO:0046332; GO:0003714; GO:0030514; GO:0008285; GO:0060212; GO:0045668; GO:0017148; GO:1900153; GO:0060213; GO:0010468; GO:0060390
Q14106,GO:0005737; GO:0005829; GO:0005634; GO:0042809; GO:0003714; GO:0007292; GO:0008285; GO:0045671; GO:0030316; GO:0045778; GO:0010468
Q9H0E2,GO:0035578; GO:0005737; GO:0005829; GO:0070062; GO:0005576; GO:0016604; GO:0048471; GO:0032991; GO:0035580; GO:0005150; GO:0019900; GO:0032183; GO:0035325; GO:0043130; GO:0031624; GO:0031625; GO:0006914; GO:0030855; GO:0006954; GO:0045087; GO:0070498; GO:0045321; GO:0016310; GO:0033235; GO:0036010; GO:0007165; GO:0006511
Q5RA31,GO:0016021; GO:0005742; GO:0097225; GO:0006626
Q4R3C7,GO:0016021; GO:0005742; GO:0045040; GO:0006626
Q6P825,GO:0005742; GO:0046930; GO:0015288; GO:0008320; GO:0006811; GO:0030150; GO:0006626
B1AXP6,GO:0016021; GO:0005742; GO:0005739; GO:0006626
Q5R676,GO:0016021; GO:0005742; GO:0006626
O94826,GO:0070062; GO:0031307; GO:0016020; GO:0005741; GO:0005742; GO:0005739; GO:0030943; GO:0008320; GO:0002218; GO:0098586; GO:0061052; GO:0002230; GO:0032728; GO:1904591; GO:0030150; GO:0045039; GO:0045040; GO:0006626; GO:0042981; GO:0097068
Q75Q39,GO:0031307; GO:0005742; GO:0005739; GO:0030943; GO:0002218; GO:0098586; GO:0061052; GO:0002230; GO:0032728; GO:1904591; GO:0030150; GO:0045039; GO:0006626; GO:0042981; GO:0097068
A1XQS2,GO:0016021; GO:0005742; GO:0098779; GO:1903955; GO:0030150; GO:0031647
Q7YR26,GO:0005694; GO:0005730; GO:0005654; GO:0005634; GO:0003682; GO:0003677; GO:0003917; GO:0000978; GO:0006338; GO:0032922; GO:0006265
P11387,GO:0005694; GO:0001650; GO:0001673; GO:0005730; GO:0005654; GO:0005634; GO:0000932; GO:0043204; GO:0032993; GO:0005524; GO:0003682; GO:0003677; GO:0003917; GO:0003690; GO:0019904; GO:0004674; GO:0003723; GO:0000978; GO:0003697; GO:0097100; GO:0006338; GO:0007059; GO:0032922; GO:0007623; GO:0006260; GO:0006265; GO:0040016; GO:0018105; GO:0016310; GO:0012501; GO:0009410
O42130,GO:0005694; GO:0000793; GO:0005737; GO:0009330; GO:0000792; GO:0005730; GO:0005654; GO:0005634; GO:1990904; GO:0005524; GO:0008094; GO:0030332; GO:0003677; GO:0008301; GO:0003918; GO:0000287; GO:0030263; GO:0051301; GO:0006974; GO:0007059; GO:0006266; GO:0006260; GO:0006265; GO:1905463; GO:0043065; GO:0000712; GO:0048511; GO:0000819
O42131,GO:0005730; GO:0005654; GO:0005634; GO:1990904; GO:0005524; GO:0003677; GO:0003916; GO:0003918; GO:0046872; GO:0006265; GO:0000712; GO:0000819
O95985,GO:0000793; GO:0140225; GO:0005634; GO:0003677; GO:0003916; GO:0003917; GO:0003723; GO:0007059; GO:0006265
Q76IQ7,GO:0005634; GO:0031490; GO:0061629; GO:0003713; GO:0008585; GO:0045944; GO:0006357; GO:0034698
O94900,GO:0005634; GO:0031490; GO:0043373; GO:0002362; GO:0043375; GO:0021895; GO:0006325; GO:0002521; GO:0048535; GO:0001779; GO:0002364; GO:0048541; GO:1901537; GO:0032825; GO:2000179; GO:0010976; GO:1902232; GO:0006357
Q78EG7,GO:0005737; GO:0009898; GO:0005769; GO:0005783; GO:0005634; GO:0005819; GO:0004725; GO:0008138; GO:0007049; GO:0030335; GO:0006470
Q6P9X4,GO:0005737; GO:0005769; GO:0005634; GO:0005886; GO:0004725; GO:0008138; GO:0006470
A2VDT1,GO:0005737; GO:0005769; GO:0005634; GO:0005886; GO:0004725; GO:0008138; GO:1990830; GO:0043542; GO:0007219; GO:1904951; GO:1901224; GO:0043117; GO:0006470; GO:0006355; GO:1900746
Q8TEL6,GO:0080008; GO:0031464; GO:0048471; GO:0005886; GO:0005262; GO:0019902; GO:1990756; GO:0070588; GO:0048820; GO:0016567; GO:0006511; GO:0140627
Q5ZJU8,GO:0005737; GO:0032007; GO:0042981
P29144,GO:0005737; GO:0005829; GO:0016604; GO:0005654; GO:0004177; GO:0004175; GO:0042802; GO:0004252; GO:0008240; GO:0080144; GO:0000209; GO:0006508
Q9Y5R8,GO:0035578; GO:0005737; GO:0005829; GO:0005783; GO:0005576; GO:0030008; GO:1990071; GO:1990072; GO:0048208; GO:0006888; GO:0006901; GO:0099022
Q2KMM2,GO:0005783; GO:0005794; GO:0030008; GO:0006888
E2QV03,GO:0005737; GO:0005793; GO:0005634; GO:0048471; GO:0030008; GO:0006888
F1SRI0,GO:0005737; GO:0005793; GO:0005634; GO:0048471; GO:0030008; GO:0006888
O43617,GO:0033106; GO:0005737; GO:0005829; GO:0005783; GO:0005794; GO:0000139; GO:0030008; GO:1990071; GO:1990072; GO:0048208; GO:0006888; GO:0006891; GO:0006901; GO:0099022
Q5R9J9,GO:0070161; GO:0030425; GO:0005783; GO:0000139; GO:0005795; GO:0045211; GO:0008021; GO:0030008; GO:0006914; GO:0016358; GO:0006888
Q96Q05,GO:0005737; GO:0005829; GO:0005783; GO:0005802; GO:0030008; GO:1990071; GO:0021987; GO:0006888; GO:0030182; GO:0051092; GO:0006901; GO:0099022
Q3ZCC8,GO:0005737; GO:0005874; GO:0015631; GO:0046697; GO:0007566; GO:0001578; GO:0046785; GO:0032273
Q5ZII3,GO:0016021; GO:0005886; GO:0004930; GO:0007186
Q5T0D9,GO:0070161; GO:0044305; GO:0005737; GO:0070062; GO:0048786; GO:0008021; GO:0030672; GO:0051966
P12270,GO:0005737; GO:0005868; GO:0019898; GO:0000776; GO:0072686; GO:0005635; GO:0042405; GO:0031965; GO:0034399; GO:0005643; GO:0044615; GO:0005654; GO:0005634; GO:0003682; GO:0070840; GO:0031072; GO:0051019; GO:0003729; GO:0042803; GO:0003723; GO:0017056; GO:0015631; GO:0051301; GO:0034605; GO:0035457; GO:0007094; GO:0006406; GO:0031990; GO:0046832; GO:0000122; GO:0045947; GO:0006999; GO:0006913; GO:0031453; GO:0090316; GO:0090267; GO:0046827; GO:0042307; GO:0006606; GO:0010965; GO:1901673; GO:0032880; GO:0070849; GO:0006405; GO:0006404
O70281,GO:0005794; GO:0030173; GO:0042803; GO:0008476; GO:0008146; GO:0006478
Q5ZJI0,GO:0005794; GO:0000139; GO:0016021; GO:0008476; GO:0008146; GO:0006478
Q6DED0,GO:0005789; GO:0016021; GO:0006616
Q13595,GO:0043231; GO:0005730; GO:0005654; GO:0005634; GO:0005681; GO:0003723; GO:0000398; GO:0048026
Q6PFR5,GO:0043231; GO:0005730; GO:0005654; GO:0005634; GO:0005681; GO:0042802; GO:0003723; GO:0000398; GO:0048026
P62997,GO:0005637; GO:0005634; GO:0048471; GO:0032991; GO:0005681; GO:0042802; GO:0003729; GO:0036002; GO:0019904; GO:0003723; GO:0071333; GO:0021796; GO:1990403; GO:0000398; GO:0048026; GO:0000381; GO:0043484; GO:0000302
Q58DF3,
Q13114,GO:0035631; GO:0009898; GO:0005829; GO:0005768; GO:0005739; GO:1902554; GO:0000151; GO:0042802; GO:0019901; GO:0019903; GO:0031996; GO:0005164; GO:0031625; GO:0004842; GO:0008270; GO:0006915; GO:0051607; GO:0032088; GO:0046330; GO:0070534; GO:0042981; GO:0001817; GO:0050688; GO:0043122; GO:0032648; GO:0030162; GO:0007165; GO:0008063; GO:0002224; GO:0035666; GO:0033209; GO:0060337
Q60803,GO:0035631; GO:0009898; GO:0005768; GO:0005739; GO:0042802; GO:0019901; GO:0019903; GO:0031996; GO:0016740; GO:0005164; GO:0031625; GO:0008270; GO:0006915; GO:0045087; GO:0032088; GO:0046330; GO:0070534; GO:0042981; GO:0001817; GO:0050688; GO:0043122; GO:0032648; GO:0030162; GO:0008063; GO:0002224; GO:0033209
Q61382,GO:0005923; GO:0005737; GO:0005856; GO:0005829; GO:0001650; GO:0005654; GO:0005634; GO:0048471; GO:0005886; GO:0042802; GO:0019901; GO:0031996; GO:0016740; GO:0005164; GO:0031625; GO:0050699; GO:0008270; GO:0007250; GO:0006915; GO:0045087; GO:0046330; GO:0045860; GO:0043161; GO:0042981; GO:0043122; GO:0007585; GO:0030323
Q6Q0C0,GO:0031410; GO:0043231; GO:0005730; GO:0005886; GO:0000151; GO:0004842; GO:0008270; GO:0006915; GO:0007219; GO:2001235; GO:0043410; GO:0016567; GO:0070372; GO:0000027
Q9UPV9,GO:1904115; GO:0005938; GO:0005737; GO:0031410; GO:0005829; GO:0030425; GO:0005769; GO:0031966; GO:0005739; GO:0005634; GO:0050811; GO:0017022; GO:0005102; GO:0098957; GO:0008333; GO:0048311; GO:0022008; GO:0006493; GO:0006605; GO:0006357; GO:0047496
Q15035,GO:0030176; GO:0032964; GO:0045048; GO:0006616
Q91854,GO:0008013; GO:0051219; GO:0046983; GO:0016055
P48553,GO:0005737; GO:0005829; GO:0030008; GO:1990071; GO:0034498; GO:0006888; GO:0006891; GO:0006901; GO:0099022
Q5ZI89,GO:0005794; GO:0016192
Q8WVT3,GO:0005737; GO:0005829; GO:0005793; GO:0005794; GO:0000776; GO:0005654; GO:0005634; GO:0030008; GO:1990072; GO:0048208; GO:0006888; GO:0007030; GO:0051310; GO:1905342; GO:0090234; GO:0099022
Q8K2L8,GO:0005737; GO:0005793; GO:0005794; GO:0000776; GO:0005654; GO:0005634; GO:0048471; GO:0030008; GO:1990072; GO:0048208; GO:0006888; GO:0007030; GO:0051310; GO:1905342; GO:0090234; GO:0099022
Q5RCG0,
Q5M887,GO:1990072
A6H7F7,GO:0005737; GO:0005783; GO:0005794; GO:0005634; GO:0048471; GO:0030008; GO:0006888
Q9JME7,GO:0005737; GO:0005829; GO:0005783; GO:0043231; GO:0005634; GO:0048471; GO:0030008; GO:1990071; GO:1990072; GO:0048208; GO:0006888; GO:0006901; GO:0099022
B2RYU6,GO:0005737; GO:0005783; GO:0005794; GO:0005634; GO:0048471; GO:0030008; GO:0006888
Q86SZ2,GO:0005801; GO:0005737; GO:0005829; GO:0005783; GO:0005802; GO:0030008; GO:1990071; GO:0006888; GO:0007399; GO:0043087; GO:0006901; GO:0099022
P55327,GO:0005737; GO:0005783; GO:0048471; GO:0005509; GO:0042803; GO:0009653; GO:0030183; GO:0046903
Q9I8F4,GO:0005737; GO:0005769; GO:0048471; GO:0042803; GO:0000086; GO:2001235; GO:0043406
P70080,GO:0043005; GO:0005506; GO:0004510; GO:0009072; GO:0002576; GO:1900046; GO:0042427
Q92142,GO:0005506; GO:0004510; GO:0009072; GO:0002576; GO:1900046; GO:0042427
Q2HZ26,GO:0043005; GO:0005506; GO:0004510; GO:0009072; GO:0042427
P00940,GO:0005829; GO:0008929; GO:0042803; GO:0004807; GO:0031625; GO:0061621; GO:0006094; GO:0046166; GO:0019563; GO:0006096; GO:0019242
Q5KR49,GO:0015629; GO:0005884; GO:0097512; GO:0030016; GO:0030017; GO:0051015; GO:0097718; GO:0042802; GO:0046982; GO:0042803; GO:0007015; GO:0060048; GO:0006936
P84335,GO:0015629; GO:0005737; GO:0051015; GO:0042802; GO:0046982; GO:0042803
P04692,GO:0015629; GO:0005884; GO:0032059; GO:0005737; GO:0030016; GO:0032991; GO:0032587; GO:0001725; GO:0003779; GO:0051015; GO:0008092; GO:0097718; GO:0042802; GO:0046982; GO:0042803; GO:0047485; GO:0051693; GO:0007015; GO:0060048; GO:0034614; GO:0001701; GO:0006936; GO:0030049; GO:0030336; GO:1904753; GO:1904706; GO:0032781; GO:0045785; GO:0003065; GO:0051496; GO:0043462; GO:0008360; GO:0031529; GO:0045214; GO:0055010; GO:0042060
Q01173,GO:0015629; GO:0005737; GO:0051015; GO:0042802; GO:0046982; GO:0042803
P19352,GO:0015629; GO:0005884; GO:0005737; GO:0051015; GO:0042802; GO:0046982; GO:0042803; GO:0007015; GO:0006936
Q5KR47,GO:0005884; GO:0005829; GO:0001725; GO:0051015; GO:0007015; GO:0006936
P06753,GO:0015629; GO:0005884; GO:0005856; GO:0005829; GO:0070062; GO:0005862; GO:0001725; GO:0051015; GO:0007015; GO:0006936
Q63610,GO:0005884; GO:0005903; GO:0032154; GO:0030863; GO:0005737; GO:0030426; GO:0043005; GO:0002102; GO:0001725; GO:0051015; GO:0007015; GO:0007420; GO:0006936
Q9UKU6,GO:0005737; GO:0070062; GO:0005887; GO:0005886; GO:0004177; GO:0070006; GO:0042277; GO:0008270; GO:0007267; GO:0043171; GO:0006508; GO:0008217; GO:0007165
Q8K093,GO:0005737; GO:0016021; GO:0005886; GO:0070006; GO:0042277; GO:0008270; GO:0043171; GO:0006508; GO:0008217; GO:0007165
O93603,GO:0016021; GO:0005886; GO:0004997; GO:0007200
Q28596,GO:0016021; GO:0005886; GO:0004997
O15344,GO:0034451; GO:0005737; GO:0005829; GO:0005794; GO:0005874; GO:0005875; GO:0005819; GO:0019899; GO:0042802; GO:0008017; GO:0051219; GO:0042803; GO:0016740; GO:0031625; GO:0008270; GO:0000226; GO:0007026; GO:0007389; GO:0032874; GO:0035372; GO:0070507
P36406,GO:0000139; GO:0005765; GO:0005634; GO:0005886; GO:0008047; GO:0019003; GO:0005525; GO:0003924; GO:0042802; GO:0004842; GO:0008270; GO:0045087; GO:0006886; GO:0016567; GO:0016192
Q8BGX0,GO:0005737; GO:0000139; GO:0005765; GO:0005634; GO:0005886; GO:0019003; GO:0005525; GO:0003924; GO:0042802; GO:0004842; GO:0008270; GO:0006886; GO:0006471; GO:0016567; GO:0016192
Q13049,GO:0005737; GO:0005829; GO:0005634; GO:0005863; GO:0042802; GO:0017022; GO:0043621; GO:0003723; GO:0030957; GO:0003713; GO:0031369; GO:0043130; GO:0061630; GO:0004842; GO:0008270; GO:0007014; GO:0061564; GO:0045444; GO:0010994; GO:0045087; GO:0046716; GO:0048147; GO:1902230; GO:0032897; GO:0010508; GO:0045787; GO:0030307; GO:0030335; GO:2000147; GO:1903886; GO:0051091; GO:0043123; GO:1903883; GO:0050769; GO:0045666; GO:0051092; GO:0045732; GO:0045862; GO:0051155; GO:1903265; GO:0070936; GO:0000209; GO:0016567; GO:0034612; GO:0009411; GO:0044790; GO:0001894; GO:0006511
Q9UPN9,GO:0005654; GO:0005634; GO:0070410; GO:0003677; GO:0070412; GO:0004842; GO:0008270; GO:0030514; GO:0000122; GO:0045892; GO:0016567; GO:0017015
Q6PCX9,GO:0016235; GO:0005737; GO:0005829; GO:0035098; GO:0048471; GO:0005777; GO:0003682; GO:0042803; GO:0003713; GO:0005164; GO:0061630; GO:0031625; GO:0004842; GO:0008270; GO:0070842; GO:0035518; GO:0036353; GO:0046600; GO:0032088; GO:0000122; GO:0051091; GO:0051092; GO:0051865
Q9BYV2,GO:0005737; GO:0005874; GO:0005875; GO:0030018; GO:0008017; GO:0061630; GO:0008270; GO:0030154; GO:0007017; GO:0007026; GO:0016567; GO:0007165
Q5REJ9,GO:0005874; GO:0030018; GO:0008270; GO:0030154
Q80V85,GO:0005737; GO:0042802; GO:0003713; GO:0061630; GO:0004842; GO:0008270; GO:0045087; GO:0010719; GO:0032897; GO:1905036; GO:0051091; GO:0043123; GO:0051092; GO:0044314; GO:0016567; GO:0046596; GO:0019076
Q6ZTA4,GO:0005737; GO:0005856; GO:0008270; GO:0046580; GO:0010976; GO:2000060; GO:0032880
Q505D9,GO:0005737; GO:0005856; GO:0008270; GO:0046580; GO:0010976; GO:2000060
O43715,GO:0005758; GO:0005739; GO:0005654; GO:0005634; GO:0032991; GO:0002039; GO:0006915; GO:0034644; GO:0030330; GO:0006977; GO:0120009; GO:0043066; GO:0043154; GO:1902166; GO:0090201; GO:0045332; GO:0015914; GO:2001140; GO:0045944; GO:0097035
Q5GLH2,GO:0005737; GO:0005856; GO:0005634; GO:0031434; GO:0004860; GO:0061629; GO:0031625; GO:0055106; GO:0045599; GO:0032693; GO:0032436; GO:0043405
Q9QUS6,GO:0005737; GO:0005874; GO:0019899; GO:0042802; GO:0008017; GO:0051219; GO:0042803; GO:0003713; GO:0016740; GO:0008270; GO:0045087; GO:0046597; GO:0032897; GO:0010508; GO:0051091; GO:0043123; GO:0051092; GO:0035372; GO:0016567; GO:0044790
Q9C040,GO:0005737; GO:0061630; GO:0004842; GO:0008270; GO:0043161; GO:0000209; GO:0043523
Q99PJ2,GO:0005829; GO:0005634; GO:0016605; GO:0042802; GO:0046872; GO:0042803; GO:0003713; GO:0004842; GO:0045087; GO:0046597; GO:0032897; GO:0010508; GO:0051091; GO:0043123; GO:0051092; GO:1900182; GO:0019827; GO:0044790
Q29RQ5,GO:0070161; GO:0005737; GO:0005856; GO:0030425; GO:0008021; GO:0061630; GO:0008270; GO:0043161
Q9C026,GO:0070161; GO:0005737; GO:0005856; GO:0030425; GO:0008021; GO:0019904; GO:0042803; GO:0061630; GO:0008270; GO:0043161
Q8C7M3,GO:0070161; GO:0005737; GO:0005856; GO:0030425; GO:0099523; GO:0008021; GO:0019904; GO:0042803; GO:0000149; GO:0061630; GO:0008270; GO:0045955; GO:0035544; GO:0043161; GO:0016079
O75962,GO:0042995; GO:0005737; GO:0005829; GO:0019898; GO:0005524; GO:0005085; GO:0106310; GO:0004674; GO:0007411; GO:0007417; GO:0045599; GO:0048812; GO:0006468; GO:0051056; GO:0007185
G5E870,GO:0016607; GO:0005654; GO:0046966; GO:0061630; GO:0008270; GO:0006974; GO:0006281; GO:2000780; GO:1901315; GO:0043161; GO:0000209; GO:2000779; GO:0045995; GO:0006511
P48995,GO:0034703; GO:0005887; GO:0005886; GO:0043235; GO:0051117; GO:0005262; GO:0005261; GO:0070679; GO:0005102; GO:0015279; GO:0044325; GO:0070588; GO:0006816; GO:0006828; GO:0042438; GO:0051281; GO:1903779; GO:0051480; GO:0051592
Q13507,GO:0034703; GO:0005887; GO:0005886; GO:0005262; GO:0070679; GO:0015279; GO:0070588; GO:0006816; GO:0006828; GO:0007602; GO:0010524; GO:1903244; GO:0051480; GO:0033198; GO:0051592; GO:0007338
Q9UBN4,GO:0016323; GO:0034704; GO:0034703; GO:0005901; GO:0009986; GO:0030863; GO:0005887; GO:0005886; GO:0008013; GO:0045296; GO:0005262; GO:0070679; GO:0015279; GO:0070509; GO:0070588; GO:0006816; GO:0014051; GO:0006828; GO:0048709; GO:0051480
Q9QX29,GO:0034704; GO:0034703; GO:0005737; GO:0030425; GO:0030426; GO:0005887; GO:0045121; GO:0043025; GO:0003779; GO:0042805; GO:0051117; GO:0005262; GO:0030276; GO:0070679; GO:0015279; GO:0070588; GO:0006828; GO:0050774; GO:0051402; GO:0030182; GO:0070782; GO:0045773; GO:0008284; GO:0007204; GO:0045666; GO:0010800; GO:0051480; GO:1902630
Q9MYW0,GO:0034703; GO:0005737; GO:0005887; GO:0005886; GO:0036057; GO:0005261; GO:0070679; GO:0042803; GO:0015279; GO:0070588; GO:0006828; GO:0051928; GO:0007204; GO:0032414; GO:0051480; GO:0007338
Q9HCX4,GO:0034703; GO:0005801; GO:0005887; GO:0005635; GO:0048471; GO:0005886; GO:0005262; GO:0070679; GO:0015279; GO:0070588; GO:0006828; GO:0051480; GO:0007338
Q9HCF6,GO:0005887; GO:0005886; GO:0005227; GO:0005262; GO:0005261; GO:0070588; GO:0098655; GO:0006812; GO:0016048; GO:0051262; GO:0050951
Q96QT4,GO:0005887; GO:0005886; GO:0001726; GO:0003779; GO:0005524; GO:0005262; GO:0005261; GO:0046872; GO:0017022; GO:0106310; GO:0004674; GO:0031032; GO:0070588; GO:0006816; GO:0016340; GO:0098655; GO:0010961; GO:0072507; GO:0070266; GO:0046777; GO:0051262
Q7Z2W7,GO:0005789; GO:0009897; GO:0005887; GO:0045121; GO:0005886; GO:0005262; GO:0005261; GO:0042802; GO:0099604; GO:0070588; GO:0098655; GO:0006874; GO:0016048; GO:0120162; GO:0009409; GO:0050955
Q9UHF7,GO:0000785; GO:0005654; GO:0005634; GO:0032991; GO:0003700; GO:0001227; GO:0019904; GO:0000977; GO:0008270; GO:0000122; GO:0032330; GO:0006357; GO:0001501
A0A1D5PXA5,GO:0005912; GO:0016324; GO:0005929; GO:0005887; GO:0005886; GO:0005524; GO:0005262; GO:0005516; GO:0005261; GO:0005216; GO:0008289; GO:0046872; GO:0007015; GO:0098703; GO:0006874; GO:0007231
Q9HBA0,GO:0005912; GO:0016324; GO:0009986; GO:0005929; GO:0030864; GO:0005881; GO:0031410; GO:0005783; GO:0030175; GO:0005925; GO:0030426; GO:0016021; GO:0005887; GO:0030027; GO:0005886; GO:0032587; GO:0003779; GO:0051015; GO:0043014; GO:0005524; GO:0048487; GO:0005262; GO:0005516; GO:0005261; GO:0042802; GO:0005216; GO:0008289; GO:0046872; GO:0008017; GO:0005034; GO:0019901; GO:0005080; GO:0042169; GO:0015275; GO:0031532; GO:0007015; GO:0097497; GO:0070509; GO:0098703; GO:1902656; GO:0070588; GO:0006816; GO:0060351; GO:0006884; GO:0007043; GO:0006874; GO:0071476; GO:0071477; GO:0034605; GO:0071470; GO:0043622; GO:0002024; GO:0097009; GO:0042593; GO:0042538; GO:0046785; GO:0050891; GO:1903444; GO:0010977; GO:0000122; GO:0007231; GO:0071651; GO:2000340; GO:0007204; GO:0070374; GO:0050729; GO:0032755; GO:0046330; GO:0010759; GO:0071642; GO:0031117; GO:0071639; GO:0045989; GO:0043117; GO:1903715; GO:0047484; GO:0032868; GO:0009612; GO:0030103
Q9Y4A5,GO:0005794; GO:0035267; GO:0005654; GO:0000786; GO:0005634; GO:0000124; GO:0000812; GO:0033276; GO:0003712; GO:0006325; GO:0006281; GO:0016573; GO:0016578; GO:0043968; GO:0043966; GO:0043967; GO:0035521; GO:0035522; GO:1905168; GO:0045893; GO:0042981; GO:0051726; GO:0006282; GO:2000779; GO:0043484; GO:0006357; GO:0006355
Q80YV3,GO:0005794; GO:0000123; GO:0035267; GO:0005654; GO:0000786; GO:0005634; GO:0000124; GO:0000812; GO:0033276; GO:0005667; GO:0003713; GO:0003712; GO:0006325; GO:0006281; GO:0016573; GO:0016578; GO:0043968; GO:0043966; GO:0043967; GO:0035521; GO:0035522; GO:1905168; GO:0045893; GO:0042981; GO:0051726; GO:0006282; GO:2000779; GO:0043484; GO:0006357; GO:0006355
Q5NVA2,GO:0005829; GO:0005634; GO:0071949; GO:0042802; GO:0050137; GO:0004791; GO:0008283; GO:0045454; GO:0001707
O89049,GO:0005737; GO:0005829; GO:0005739; GO:0043025; GO:0005634; GO:0071949; GO:0042802; GO:0045340; GO:0016174; GO:0050137; GO:0033797; GO:0004791; GO:0042537; GO:0008283; GO:0045454; GO:0071280; GO:0071455; GO:0007369; GO:0070276; GO:0042744; GO:0001707; GO:0070995; GO:0001890; GO:0010942; GO:0048678; GO:0055093; GO:0006979; GO:0010269; GO:0009410; GO:0016259
Q61187,GO:0005737; GO:0005829; GO:0005769; GO:0031901; GO:0005768; GO:0010008; GO:0000813; GO:0070062; GO:0090543; GO:0005770; GO:0031902; GO:0005815; GO:0005730; GO:0005634; GO:0005886; GO:0048306; GO:0030374; GO:0042803; GO:0044877; GO:0003714; GO:0043130; GO:0031625; GO:0046790; GO:0007049; GO:0030154; GO:0051301; GO:0008333; GO:1990182; GO:0006858; GO:0030216; GO:0008285; GO:0042059; GO:0007175; GO:0000122; GO:1903543; GO:2000397; GO:1903774; GO:0006513; GO:0015031; GO:0051726; GO:0001558; GO:1903551; GO:0043405; GO:0043162; GO:0046755; GO:0019076
Q9UPX0,GO:0070161; GO:0098982; GO:0016021; GO:0043005; GO:0014069; GO:0045211; GO:0099629; GO:0007155; GO:0007399
Q29S14,GO:0030173; GO:0009306; GO:0016192
